Year,State,Grade,Subject,State_Passing_Percentage,State_Failing_Percentage,State_Percentage_Disabilities,State_Percentage_Low_Income,State_Percentage_White,State_Percentage_Black,State_Percentage_Hispanic,State_Percentage_Asian,Median_Income
2015,North Dakota,4,Math,36.89,63.11,14.57,23.3,41.30191953,20.73883037,14.33943504,NA,57415
2015,Ohio,4,Math,36.64,63.36,11.46,22.54,42.2558949,12.4424048,29.114768,NA,53301
2015,Oklahoma,4,Math,31.61,68.39,17.06,22.59,37.50575042,13.76112479,24.79340392,NA,47077
2015,Oregon,4,Math,31.16,68.84,10.29,23.61,36.26834747,16.75260794,18.03446587,34.02870828,60834
2015,Pennsylvania,4,Math,35.31,64.69,17.48,21.01,41.54794207,13.48963821,19.02578118,40.61273824,60389
2015,Rhode Island,4,Math,31.92,68.08,7.81,19.41,40.18970625,16.50044724,16.99776562,32.32927334,55701
2015,South Carolina,4,Math,30.5,69.5,13.1,21.71,39.62459197,15.05391408,29.5489557,NA,46360
2015,South Dakota,4,Math,35.35,64.65,16.49,22.94,41.62217688,8.172356595,17.47848629,NA,55065
2015,Tennessee,4,Math,33.63,66.37,16.07,24.81,39.56104058,18.37906024,28.88492134,40.87862476,47330
2015,Texas,4,Math,35.72,64.28,16.32,28.09,45.51420488,26.54505615,32.35875478,45.21431571,56473
2015,Utah,4,Math,36.37,63.63,16.71,25.21,40.37456349,NA,20.89627439,NA,66258
2015,Vermont,4,Math,34.51,65.49,11.68,24.35,34.87337239,NA,NA,NA,59494
2015,Virginia,4,Math,36.96,63.04,17.92,24.48,44.45165214,23.34869847,27.2315047,45.46831393,61486
2015,Washington,4,Math,34.82,65.18,16.13,25.5,41.92763251,19.07905713,21.81593112,37.20670588,67243
2015,West Virginia,4,Math,28.02,71.98,12.02,23.54,29.092638,10.23915088,NA,NA,42824
2015,Wisconsin,4,Math,36.25,63.75,13.76,22.74,42.71784683,12.05659939,20.38553481,34.1982276,55425
2015,Wyoming,4,Math,39.35,60.65,17.26,30,43.70098378,NA,24.82619567,NA,60925
2015,Puerto Rico,4,Math,20.12,79.88,NA,NA,NA,NA,NA,NA,30000
